2026-04-22 21:25:30 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:25:30 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:25:30 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:30:17 | INFO     | smart_task_api.user_routes | Line 14 | Signup attempt for email: test@test.com
2026-04-22 21:30:17 | INFO     | smart_task_api.users_service | Line 11 | Creating user with email: test@test.com
2026-04-22 21:33:35 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:33:35 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:33:35 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:37:45 | INFO     | smart_task_api.user_routes | Line 14 | Signup attempt for email: john@test.com
2026-04-22 21:37:45 | INFO     | smart_task_api.users_service | Line 11 | Creating user with email: john@test.com
2026-04-22 21:37:46 | INFO     | smart_task_api.users_service | Line 34 | User created successfully with ID: 1
2026-04-22 21:38:13 | INFO     | smart_task_api.user_routes | Line 20 | Login attempt for email: john@test.com
2026-04-22 21:38:13 | INFO     | smart_task_api.users_service | Line 38 | Login attempt for email: john@test.com
2026-04-22 21:39:03 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:39:03 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:39:03 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:39:26 | INFO     | smart_task_api.user_routes | Line 20 | Login attempt for email: john@test.com
2026-04-22 21:39:26 | INFO     | smart_task_api.users_service | Line 38 | Login attempt for email: john@test.com
2026-04-22 21:39:26 | INFO     | smart_task_api.users_service | Line 50 | User john@test.com logged in successfully
2026-04-22 21:41:55 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:41:55 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:41:55 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:42:04 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:42:04 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:42:04 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:42:15 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:42:15 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:42:15 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:42:23 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:42:23 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:42:23 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:42:46 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:42:46 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:42:46 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:42:53 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:42:53 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:42:53 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:43:01 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:43:01 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:43:01 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:54:26 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:54:26 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:54:26 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
2026-04-22 21:54:35 | INFO     | smart_task_api.main | Line 29 | 🚀 ========== SMART TASK API STARTING ========== 🚀
2026-04-22 21:54:35 | INFO     | smart_task_api.main | Line 30 | 📦 Database connected
2026-04-22 21:54:35 | INFO     | smart_task_api.main | Line 31 | ✅ All routers registered
